누적 ap : 0.5, ap : 0.5
누적 ap : 0.9, ap : 0.4
누적 ap : 1.3333333333333335, ap : 0.43333333333333335
누적 ap : 1.4583333333333335, ap : 0.125
누적 ap : 1.7083333333333335, ap : 0.25
누적 ap : 2.041666666666667, ap : 0.3333333333333333
누적 ap : 2.7083333333333335, ap : 0.6666666666666666
누적 ap : 3.2083333333333335, ap : 0.5
누적 ap : 3.636904761904762, ap : 0.42857142857142855
누적 ap : 4.065476190476191, ap : 0.42857142857142855
누적 ap : 4.482142857142858, ap : 0.41666666666666663
누적 ap : 4.898809523809525, ap : 0.41666666666666663
누적 ap : 5.698809523809524, ap : 0.8
누적 ap : 6.198809523809524, ap : 0.5
누적 ap : 6.976587301587302, ap : 0.7777777777777778
누적 ap : 7.176587301587302, ap : 0.2
누적 ap : 8.03373015873016, ap : 0.8571428571428571
누적 ap : 8.28373015873016, ap : 0.25
누적 ap : 8.807539682539684, ap : 0.5238095238095237
누적 ap : 9.116630591630592, ap : 0.3090909090909091
누적 ap : 9.116630591630592, ap : 0.0
누적 ap : 9.283297258297258, ap : 0.16666666666666666
누적 ap : 10.283297258297258, ap : 1.0
누적 ap : 11.283297258297258, ap : 1.0
누적 ap : 12.116630591630592, ap : 0.8333333333333334
누적 ap : 12.116630591630592, ap : 0
누적 ap : 12.796630591630592, ap : 0.68
누적 ap : 12.963297258297258, ap : 0.16666666666666666
누적 ap : 13.713297258297258, ap : 0.75
누적 ap : 14.279963924963925, ap : 0.5666666666666667
누적 ap : 14.279963924963925, ap : 0
누적 ap : 15.079963924963925, ap : 0.8
누적 ap : 15.079963924963925, ap : 0
누적 ap : 16.079963924963927, ap : 1.0
누적 ap : 16.579963924963927, ap : 0.5
누적 ap : 16.579963924963927, ap : 0.0
누적 ap : 16.80440836940837, ap : 0.22444444444444445
누적 ap : 17.137741702741703, ap : 0.3333333333333333
누적 ap : 17.997116702741703, ap : 0.859375
누적 ap : 18.497116702741703, ap : 0.5
누적 ap : 18.830450036075035, ap : 0.3333333333333333
누적 ap : 19.330450036075035, ap : 0.5
누적 ap : 19.663783369408367, ap : 0.3333333333333333
누적 ap : 19.913783369408367, ap : 0.25
누적 ap : 20.56616432178932, ap : 0.6523809523809524
누적 ap : 20.89949765512265, ap : 0.3333333333333333
누적 ap : 21.70505321067821, ap : 0.8055555555555556
누적 ap : 22.25505321067821, ap : 0.55
누적 ap : 22.655053210678208, ap : 0.4
누적 ap : 22.79791035353535, ap : 0.14285714285714285
누적 ap : 23.29791035353535, ap : 0.5
누적 ap : 24.04791035353535, ap : 0.7499999999999999
누적 ap : 25.04791035353535, ap : 1.0
누적 ap : 25.381243686868682, ap : 0.3333333333333333
누적 ap : 25.76791035353535, ap : 0.3866666666666666
누적 ap : 25.96791035353535, ap : 0.2
